Query, Overlapping Results, % Overlap, Spearman Coef.
Query How do you replace coolant thermostat, 3, 0.3, -17.5 
Query How is library science vand information science related, 2, 0.2, 0.0 
Query Which phase is the non dividing stage, 2, 0.2, -16.0 
Query How much has michael vick worth after release from prison, 2, 0.2, -9.0 
Query How can you get rid of dog fleas, 1, 0.1, 0 
Query This is the third largest oceans, 3, 0.3, -9.75 
Query What is kristen steawerts brothers name, 2, 0.2, -24.0 
Query What type of relief is the coastal plains, 2, 0.2, -67.0 
Query What do the word anteroposterior means, 3, 0.3, -7.5 
Query Does selena gomez have verizon wireless for her cell phone, 0, 0.0, 0 
Query What is winston churchills big achievements, 3, 0.3, -2.5 
Query What is the value of a 1988 barbie collectible, 1, 0.1, 0 
Query Who does sleaner gomez love, 1, 0.1, 0 
Query How many books selling online, 0, 0.0, 0 
Query How much anderson shelters cost in ww2, 4, 0.4, -4.1 
Query What is an exzmple of soliloquy, 3, 0.3, -10.25 
Query Who invented first electirc stove and when, 4, 0.4, -2.1 
Query What kind of cells make electricity from light, 2, 0.2, -9.0 
Query Advantages and disadvantages of a bank, 0, 0.0, 0 
Query What is the difference between an electrician and an electrical engineer, 0, 0.0, 0 
Query What is the sequence to obtain a DNA fingerprint, 2, 0.2, -3.0 
Query Where is nadia comasneci 's academy the perfect ten, 0, 0.0, 0 
Query One pound of confectioners sugar equals how many ounces, 1, 0.1, 0 
Query What skills are needed to become a surgeon to be successful, 1, 0.1, 1 
Query How much does a 1996 chevy lumina weigh, 3, 0.3, -5.25 
Query The precipitaion of a cougar, 0, 0.0, 0 
Query What are the Functions of proteins to the body, 1, 0.1, 0 
Query How much did the vietnam war cost per day, 3, 0.3, -19.25 
Query Largest living life on earth, 2, 0.2, -3.0 
Query The twinkling of stars is caused by, 2, 0.2, -12.0 
Query What kind of music is listened toin costa rica, 5, 0.5, -4.6 
Query Width of a football field in yards, 1, 0.1, 0 
Query What is revolution of the sun, 2, 0.2, -12.0 
Query How do snakes adapt to there enviornment, 2, 0.2, -3.0 
Query Lil wayne 's favorite type of movie, 2, 0.2, -4.0 
Query Where to get legendary pokemon on tppcrpg, 2, 0.2, -15.0 
Query What is moon jelly a radial or bilateral, 0, 0.0, 0 
Query Does she love corbin blu, 1, 0.1, 0 
Query What is grammatical cohesion, 1, 0.1, 1 
Query What family does a lizard come from, 4, 0.4, 0.4 
Query How much do event planners make yearly, 4, 0.4, -5.6 
Query What did the person that invented the first motor bike look like, 3, 0.3, -2.5 
Query What are some cloven hooved animals, 0, 0.0, 0 
Query 1963 five dollar bill with red serial numbers, 1, 0.1, 1 
Query How do you get rid of acene fast, 2, 0.2, -24.0 
Query What is a moderately slow oven, 1, 0.1, 0 
Query Are Lea and cory dating, 0, 0.0, 0 
Query What are some commensasm relationships, 4, 0.4, -1.5 
Query Where are the Black Hills located, 4, 0.4, -0.3999999999999999 
Query What caused worldwide economic crisis, 0, 0.0, 0 
Query Where does a snowstorm less likely happen, 0, 0.0, 0 
Query Class action lawsuit, 4, 0.4, -0.3999999999999999 
Query Stratified random sampling, 2, 0.2, 0.0 
Query Number of quarters in a roll, 1, 0.1, 0 
Query Who was in spains first government, 3, 0.3, 0.5 
Query What si social darwinism, 4, 0.4, 0.4 
Query Persecution of the christian church, 2, 0.2, -1.0 
Query Where does saltwater sponges live, 3, 0.3, 0.5 
Query The photic zone has an maximum depth of, 4, 0.4, -0.8999999999999999 
Query Blue and pink make what, 0, 0.0, 0 
Query What are the various irrigation practices in the villages, 1, 0.1, 0 
Query How do you care for newborn pitbull pups, 0, 0.0, 0 
Query 10 common defects characteristics in timber, 4, 0.4, -6.0 
Query What are chinas important landmarks, 2, 0.2, -35.0 
Query What are utahs four largest cities, 1, 0.1, 1 
Query What are two powers that the legislative branch has, 1, 0.1, 0 
Query Branches on every division of philosophy, 2, 0.2, -24.0 
Query What do the people in lebanon speak, 3, 0.3, -5.5 
Query What is the reason for the novel The Da Vinci Code, 1, 0.1, 1 
Query How many millimeter in one liter, 5, 0.5, -1.2999999999999998 
Query What language do people speak in Angola, 3, 0.3, -3.5 
Query How can you delete your millsberry, 0, 0.0, 0 
Query Would be a key to preventing future genocide, 0, 0.0, 0 
Query How many teaspoons in one half ounce liquid, 4, 0.4, -4.0 
Query What are some cheerleading facts, 3, 0.3, -12.5 
Query When is the coast guard day celebrated, 6, 0.6, -1.057142857142857 
Query How far away it is from mercury, 1, 0.1, 1 
Query Code for rip jaws in dna, 0, 0.0, 0 
Query Worlds largest chicken, 2, 0.2, -24.0 
Query What is the postal code of kentucky, 3, 0.3, -9.75 
Query What creates a sandstorm, 3, 0.3, -1.25 
Query How much does a pound of marijuana cost in the us, 0, 0.0, 0 
Query How do you get the keys in sleuthhound, 1, 0.1, 0 
Query Where is the largest bridgewho built itwhat kind of bridge is it, 2, 0.2, -7.0 
Query Apakah kraf tangan yang dibuat pada kain songket, 0, 0.0, 0 
Query Why does a carbonated drink become flat when left open, 2, 0.2, -3.0 
Query Why sacrifice must environment to achieve development, 1, 0.1, 0 
Query How many atoms are contained in eachmolecule of sulfuric acid, 1, 0.1, 0 
Query Who is the most famous african american mathmatician, 2, 0.2, 0.0 
Query What kind of cultures do chile have, 4, 0.4, 0.5 
Query Gas was used for balloons long time ago, 3, 0.3, -8.0 
Query Can someone infected with syphillis get symptoms a week later, 2, 0.2, -3.0 
Query Can dogs eat pomegranite seeds, 1, 0.1, 0 
Query Really interesting facts about hernando cortez, 4, 0.4, 0.30000000000000004 
Query What language ia used in greece, 3, 0.3, -0.5 
Query Who is the most famous artist in guatemala, 2, 0.2, -39.0 
Query What are some fun sex games, 0, 0.0, 0 
Query How does an elephant attract its mate, 3, 0.3, -8.25 
Query How many calories in cooked beef, 3, 0.3, -11.75 
Query How many years do you need to go to college to be a cop, 1, 0.1, 1 
Query Averages, 1.9500000000000013, 0.19500000000000012, -4.948571428571429 
